frame_id,x,y,width,height,diarized_speaker_id,face_id,is_speaking,face_detection_confidence
0,2640.0107421875,733.701904296875,357.3984375,468.18994140625,-1,0,False,0.9550046324729919
0,784.6710205078125,709.9398193359375,288.638916015625,379.03662109375,-1,1,False,0.9203653335571289
1,2639.8125,733.6827392578125,357.51171875,468.5955810546875,-1,0,False,0.9550579190254211
1,784.755859375,711.91845703125,287.76708984375,378.9844970703125,-1,1,False,0.9180077314376831
2,2639.5576171875,733.7449951171875,357.568359375,468.6318359375,-1,0,False,0.9548999667167664
2,784.7827758789062,713.33935546875,287.55999755859375,378.792236328125,0,1,True,0.9184688925743103
3,2639.109375,733.6236572265625,357.70263671875,468.8724365234375,-1,0,False,0.9549440145492554
3,784.863037109375,714.83984375,287.007568359375,378.750244140625,0,1,True,0.9184593558311462
4,2638.630615234375,733.6468505859375,357.89404296875,468.841552734375,-1,0,False,0.9546937346458435
4,784.8140258789062,715.7454223632812,286.61761474609375,378.45941162109375,0,1,True,0.9188094735145569
5,2638.0390625,733.6435546875,357.87841796875,469.0787353515625,-1,0,False,0.9547630548477173
5,784.6062622070312,716.3948974609375,286.54058837890625,377.58056640625,0,1,True,0.9186527729034424
6,2637.426025390625,733.7706298828125,357.94775390625,469.170166015625,-1,0,False,0.9547662138938904
6,784.4006958007812,716.9614868164062,286.51531982421875,376.76336669921875,0,1,True,0.9171056747436523
7,2636.570068359375,733.9837036132812,358.16064453125,469.27459716796875,-1,0,False,0.9546326398849487
7,784.2852172851562,717.5791015625,286.55462646484375,376.008056640625,0,1,True,0.9156312346458435
8,2635.634765625,734.1328735351562,358.5068359375,469.32037353515625,-1,0,False,0.9545018672943115
8,783.63525390625,718.6891479492188,286.98193359375,375.19110107421875,0,1,True,0.9167405366897583
9,2634.949462890625,734.3739013671875,358.826171875,469.37255859375,-1,0,False,0.9545585513114929
9,783.1064453125,721.6842651367188,286.972412109375,373.69879150390625,0,1,True,0.9147816300392151
10,2634.286865234375,734.491455078125,359.2822265625,469.7861328125,-1,0,False,0.954167902469635
10,782.3035888671875,723.5679931640625,288.134033203125,373.446044921875,0,1,True,0.9147025346755981
11,2633.994384765625,734.7705688476562,359.42919921875,469.87530517578125,-1,0,False,0.9544434547424316
11,781.4493408203125,727.426513671875,290.0357666015625,374.368408203125,0,1,True,0.9126491546630859
12,2633.730224609375,734.99951171875,359.5947265625,470.1053466796875,-1,0,False,0.9546802639961243
12,782.9002075195312,731.2244262695312,289.85211181640625,377.73541259765625,0,1,True,0.9158290028572083
13,2633.735595703125,735.008544921875,359.658203125,470.2957763671875,-1,0,False,0.9548473358154297
13,784.2662963867188,734.1646728515625,289.32745361328125,378.338623046875,0,1,True,0.9184622764587402
14,2633.757080078125,734.9649658203125,359.7734375,470.4417724609375,-1,0,False,0.9550125002861023
14,784.9104614257812,735.581298828125,289.48736572265625,379.3724365234375,0,1,True,0.9203001856803894
15,2633.77294921875,734.94873046875,359.85791015625,470.579345703125,-1,0,False,0.955187976360321
15,785.44873046875,736.5654907226562,289.23583984375,379.94952392578125,0,1,True,0.9215160608291626
16,2633.874755859375,734.9183959960938,360.04443359375,470.88751220703125,-1,0,False,0.9554227590560913
16,785.7894897460938,737.034423828125,289.41119384765625,380.733154296875,0,1,True,0.9222272634506226
17,2634.172607421875,734.8551025390625,360.0322265625,471.064453125,-1,0,False,0.955706000328064
17,786.1390991210938,737.5526733398438,289.37750244140625,381.13787841796875,0,1,True,0.9213990569114685
18,2634.373046875,734.7666015625,360.1357421875,471.216796875,-1,0,False,0.955743134021759
18,786.4761962890625,737.9576416015625,289.6082763671875,381.1475830078125,0,1,True,0.9190647602081299
19,2634.591064453125,734.7171630859375,360.1552734375,471.1224365234375,-1,0,False,0.9555567502975464
19,786.7744750976562,738.2362060546875,289.43719482421875,380.341552734375,0,1,True,0.9154994487762451
20,2634.90673828125,734.7307739257812,360.16796875,471.03118896484375,-1,0,False,0.9555884003639221
20,787.038330078125,738.4456787109375,289.4267578125,380.2325439453125,0,1,True,0.9145088791847229
21,2635.06689453125,734.726318359375,360.34716796875,471.5274658203125,-1,0,False,0.9554667472839355
21,787.1834106445312,738.9281005859375,289.80206298828125,380.231201171875,0,1,True,0.9141338467597961
22,2635.256103515625,734.917724609375,360.25146484375,472.02392578125,-1,0,False,0.9553850293159485
22,787.2635498046875,739.645263671875,290.0931396484375,380.4951171875,0,1,True,0.914168655872345
23,2635.396728515625,735.0386962890625,360.3330078125,472.3338623046875,-1,0,False,0.9551486372947693
